Designator,Footprint,Quantity,Value,LCSC Part #
F1,805,1,SMD0805-050-16V,C2833485
FB1,805,1,~,C21286
J1,HRO-TYPE-C-31-M-12-Assembly,1,TYPE-C-31-M-12,C165948
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,WAFER-SH1.0-4PWB,C3029343
"R1, R2",805,2,5.1k,C27834
U1,SOT-23-6-routable,1,SRV05-4,C2836319
